0,No,Field,StarID,RA,Decl,X,Y,V,V_I,I,Vsig,Isig,B_V,B,Bsig
474,474,LMC_SC10,56550,5.166611,-68.89189,26.39,6379.82,20.030,1.136,18.894,0.148,0.091,,,
475,475,LMC_SC10,56553,5.166208,-68.89164,7.46,6381.91,19.517,-0.164,19.681,0.099,0.196,,,
476,476,LMC_SC10,56558,5.166831,-68.89150,36.75,6383.47,19.480,0.079,19.401,0.069,0.108,,,
477,477,LMC_SC10,56559,5.168008,-68.89131,92.06,6385.30,19.438,0.374,19.065,0.166,0.237,-0.391,19.046,0.186
478,478,LMC_SC10,56563,5.167806,-68.89119,82.55,6386.27,20.384,0.712,19.672,0.222,0.260,0.475,20.863,0.486
479,479,LMC_SC10,56564,5.168092,-68.89119,95.98,6386.37,19.559,0.360,19.199,0.109,0.126,0.139,19.699,0.130
480,480,LMC_SC10,56568,5.167642,-68.89100,74.84,6387.93,19.794,0.277,19.518,0.091,0.176,0.239,20.035,0.137
481,481,LMC_SC10,56571,5.166203,-68.89092,7.11,6388.33,,,19.522,,0.490,,,
482,482,LMC_SC10,56580,5.167192,-68.89003,53.64,6396.23,20.593,1.365,19.226,0.192,0.125,,,
483,483,LMC_SC10,56585,5.166928,-68.88994,41.18,6396.84,19.591,0.141,19.448,0.064,0.109,,,
484,484,LMC_SC10,56587,5.167833,-68.88983,83.81,6398.26,19.601,0.164,19.437,0.041,0.107,0.120,19.721,0.066
485,485,LMC_SC10,56597,5.168478,-68.88953,114.07,6400.96,19.850,0.374,19.476,0.061,0.113,0.280,20.132,0.077
486,486,LMC_SC10,56602,5.167386,-68.88900,62.71,6405.37,20.216,0.902,19.312,0.084,0.100,0.716,20.937,0.177
487,487,LMC_SC10,56605,5.168683,-68.88889,123.73,6406.50,19.983,1.369,18.613,0.148,0.123,,,
488,488,LMC_SC10,56606,5.166619,-68.88881,26.58,6406.70,19.061,0.051,19.012,0.080,0.100,,,
489,489,LMC_SC10,56613,5.167775,-68.88864,80.93,6408.44,19.511,0.031,19.480,0.049,0.115,0.093,19.604,0.039
490,490,LMC_SC10,56615,5.168728,-68.88861,125.87,6408.99,19.901,0.869,19.031,0.232,0.315,,,
491,491,LMC_SC10,56629,5.168700,-68.88758,124.45,6418.02,19.218,-0.045,19.263,0.032,0.097,-0.038,19.180,0.068
492,492,LMC_SC10,56637,5.167342,-68.88703,60.49,6422.50,20.841,1.552,19.288,0.223,0.098,,,
493,493,LMC_SC10,56643,5.168611,-68.88694,120.25,6423.49,21.788,2.323,19.462,0.235,0.109,,,
494,494,LMC_SC10,56649,5.167969,-68.88675,90.01,6424.96,,,20.646,,0.563,,,
495,495,LMC_SC10,56656,5.166564,-68.88614,23.84,6429.82,19.433,0.162,19.272,0.056,0.122,,,
496,496,LMC_SC10,56657,5.167536,-68.88600,69.65,6431.40,19.959,0.976,18.984,0.093,0.073,0.793,20.758,0.149
497,497,LMC_SC10,56658,5.167994,-68.88589,91.18,6432.60,19.452,0.290,19.163,0.150,0.186,-0.174,19.278,0.092
498,498,LMC_SC10,56659,5.168392,-68.88606,109.90,6431.25,19.702,0.138,19.565,0.048,0.118,0.161,19.864,0.063
499,499,LMC_SC10,56672,5.167047,-68.88511,46.64,6439.06,19.696,0.964,18.732,0.145,0.089,,,
500,500,LMC_SC10,56678,5.167056,-68.88467,46.92,6442.86,21.426,2.072,19.353,0.356,0.318,,,
501,501,LMC_SC10,56685,5.168658,-68.88439,122.35,6445.83,19.067,0.190,18.877,0.039,0.076,0.244,19.313,0.181
502,502,LMC_SC10,57170,5.166436,-68.91842,19.47,6149.00,20.418,0.122,20.296,0.278,0.297,,,
503,503,LMC_SC10,57171,5.166492,-68.91861,22.16,6147.37,,,20.198,,0.264,,,
504,504,LMC_SC10,57179,5.167011,-68.91861,46.48,6147.44,21.305,0.492,20.813,0.345,0.318,,,
505,505,LMC_SC10,57185,5.166819,-68.91831,37.51,6150.08,20.013,-0.062,20.075,0.141,0.192,,,
506,506,LMC_SC10,57188,5.166636,-68.91811,28.85,6151.75,20.161,0.045,20.115,0.192,0.209,,,
507,507,LMC_SC10,57189,5.167156,-68.91825,53.33,6150.82,20.593,0.480,20.113,0.140,0.184,,,
508,508,LMC_SC10,57190,5.167425,-68.91808,65.98,6152.34,20.504,1.005,19.498,0.262,0.139,0.437,20.946,0.532
509,509,LMC_SC10,57191,5.168717,-68.91822,126.55,6151.42,20.051,0.194,19.857,0.083,0.185,0.124,20.176,0.160
510,510,LMC_SC10,57193,5.166208,-68.91797,8.77,6152.76,20.884,0.509,20.375,0.306,0.276,,,
511,511,LMC_SC10,57194,5.166433,-68.91808,19.32,6151.95,19.221,0.143,19.077,0.234,0.273,,,
512,512,LMC_SC10,57200,5.166319,-68.91786,13.93,6153.76,,,20.041,,0.459,,,
513,513,LMC_SC10,57201,5.166494,-68.91789,22.20,6153.75,19.441,0.001,19.440,0.882,0.554,,,
514,514,LMC_SC10,57202,5.168103,-68.91797,97.80,6153.38,20.582,0.722,19.860,0.160,0.204,0.485,21.069,0.296
515,515,LMC_SC10,57208,5.166647,-68.91778,29.41,6154.68,20.125,0.168,19.956,0.166,0.219,,,
516,516,LMC_SC10,57209,5.168364,-68.91764,110.06,6156.35,19.850,0.292,19.559,0.093,0.133,0.042,19.893,0.079
517,517,LMC_SC10,57212,5.167067,-68.91750,49.12,6157.17,20.341,0.740,19.600,0.204,0.160,,,
518,518,LMC_SC10,57221,5.166522,-68.91747,23.42,6157.39,19.274,0.310,18.963,0.865,0.720,,,
519,519,LMC_SC10,57222,5.167147,-68.91733,52.79,6158.59,20.679,0.300,20.379,0.194,0.261,,,
520,520,LMC_SC10,57223,5.168500,-68.91742,116.40,6158.31,20.143,-0.111,20.254,0.094,0.202,0.094,20.238,0.118
521,521,LMC_SC10,57226,5.166169,-68.91719,6.85,6159.70,20.635,0.680,19.954,0.239,0.291,,,
522,522,LMC_SC10,57227,5.166906,-68.91719,41.46,6159.91,20.125,0.383,19.741,0.168,0.148,,,
523,523,LMC_SC10,57232,5.167694,-68.91703,78.51,6161.41,19.882,0.164,19.717,0.105,0.170,0.135,20.017,0.140
524,524,LMC_SC10,57242,5.166286,-68.91689,12.34,6162.30,19.633,-0.378,20.012,0.481,0.493,,,
525,525,LMC_SC10,57244,5.167083,-68.91683,49.81,6163.08,20.144,0.441,19.702,0.109,0.154,,,
526,526,LMC_SC10,57245,5.167361,-68.91692,62.80,6162.29,21.037,0.578,20.458,0.173,0.216,0.541,21.581,0.436
527,527,LMC_SC10,57246,5.168331,-68.91689,108.43,6162.83,20.310,0.054,20.255,0.097,0.215,0.150,20.460,0.110
528,528,LMC_SC10,57247,5.168586,-68.91694,120.35,6162.47,20.133,-0.042,20.174,0.109,0.204,,,
529,529,LMC_SC10,57252,5.166981,-68.91678,44.94,6163.45,20.190,0.407,19.783,0.100,0.161,,,
530,530,LMC_SC10,57254,5.166472,-68.91664,21.09,6164.64,,,19.759,,0.578,,,
531,531,LMC_SC10,57255,5.166578,-68.91653,26.09,6165.48,20.066,0.130,19.937,0.301,0.267,,,
532,532,LMC_SC10,57257,5.167458,-68.91650,67.35,6166.09,20.333,0.393,19.941,0.081,0.167,0.888,21.225,0.325
533,533,LMC_SC10,57258,5.168008,-68.91647,93.27,6166.32,20.074,0.362,19.711,0.094,0.176,0.119,20.194,0.188
534,534,LMC_SC10,57259,5.168694,-68.91631,125.47,6168.08,20.009,0.468,19.540,0.115,0.163,0.282,20.293,0.157
535,535,LMC_SC10,57263,5.168122,-68.91631,98.56,6168.03,,,21.549,,0.575,,,
536,536,LMC_SC10,57264,5.168328,-68.91642,108.22,6167.09,20.882,0.575,20.306,0.167,0.250,0.533,21.418,0.251
537,537,LMC_SC10,57273,5.167094,-68.91600,50.33,6170.32,20.234,0.172,20.062,0.145,0.227,,,
538,538,LMC_SC10,57274,5.167558,-68.91600,72.14,6170.37,19.666,0.070,19.596,0.089,0.145,-0.220,19.444,0.050
539,539,LMC_SC10,57285,5.168642,-68.91575,122.91,6172.91,20.023,0.237,19.786,0.151,0.181,0.347,20.372,0.202
540,540,LMC_SC10,57289,5.168528,-68.91547,117.66,6175.26,19.771,0.090,19.680,0.115,0.160,0.290,20.062,0.109
541,541,LMC_SC10,57292,5.167144,-68.91522,52.61,6177.18,20.312,0.388,19.924,0.170,0.205,,,
542,542,LMC_SC10,57296,5.168664,-68.91511,123.93,6178.38,19.698,0.112,19.586,0.130,0.156,0.126,19.825,0.201
543,543,LMC_SC10,57298,5.166917,-68.91497,41.87,6179.18,21.146,0.808,20.336,0.199,0.251,,,
544,544,LMC_SC10,57299,5.167539,-68.91494,71.13,6179.51,20.856,0.662,20.193,0.193,0.201,0.107,20.965,0.185
545,545,LMC_SC10,57300,5.168536,-68.91511,117.97,6178.51,19.970,0.342,19.628,0.115,0.178,0.253,20.226,0.191
546,546,LMC_SC10,57309,5.166386,-68.91472,16.96,6181.17,19.879,0.008,19.871,0.107,0.182,,,
547,547,LMC_SC10,57310,5.166567,-68.91481,25.40,6180.55,20.483,0.325,20.159,0.192,0.211,,,
548,548,LMC_SC10,57311,5.167144,-68.91469,52.51,6181.69,20.711,0.915,19.795,0.232,0.223,,,
549,549,LMC_SC10,57312,5.168336,-68.91478,108.52,6181.22,20.731,0.968,19.761,0.256,0.174,0.018,20.750,0.223
550,550,LMC_SC10,57318,5.166211,-68.91464,8.70,6181.80,21.177,0.531,20.645,0.260,0.303,,,
551,551,LMC_SC10,57319,5.167825,-68.91475,84.50,6181.47,20.359,0.279,20.078,0.155,0.204,0.163,20.523,0.189
552,552,LMC_SC10,57323,5.167892,-68.91469,87.71,6181.92,20.285,0.123,20.162,0.117,0.212,0.058,20.343,0.160
553,553,LMC_SC10,57327,5.166131,-68.91450,4.97,6183.14,20.688,0.649,20.040,0.287,0.222,,,
554,554,LMC_SC10,57328,5.167983,-68.91450,91.92,6183.57,20.208,-0.049,20.258,0.104,0.200,0.111,20.320,0.117
555,555,LMC_SC10,57329,5.168564,-68.91444,119.25,6184.21,19.868,0.064,19.804,0.131,0.175,0.145,20.014,0.149
556,556,LMC_SC10,57332,5.167100,-68.91439,50.48,6184.23,20.478,0.297,20.181,0.121,0.198,,,
557,557,LMC_SC10,57340,5.168022,-68.91408,93.75,6187.15,20.219,0.246,19.974,0.227,0.215,0.044,20.265,0.104
558,558,LMC_SC10,57341,5.168436,-68.91408,113.18,6187.21,19.656,-0.169,19.825,0.088,0.171,0.244,19.901,0.120
559,559,LMC_SC10,57343,5.166581,-68.91406,26.09,6186.98,21.678,1.109,20.569,0.313,0.269,,,
560,560,LMC_SC10,57344,5.167772,-68.91400,82.10,6187.99,20.523,0.455,20.067,0.145,0.186,0.429,20.954,0.195
561,561,LMC_SC10,57364,5.168175,-68.91333,100.88,6193.68,20.698,0.485,20.212,0.174,0.254,0.018,20.717,0.208
562,562,LMC_SC10,57365,5.168558,-68.91322,119.00,6194.93,20.155,0.440,19.714,0.167,0.178,0.372,20.530,0.245
563,563,LMC_SC10,57371,5.168058,-68.91317,95.47,6195.23,19.744,-0.178,19.922,0.276,0.314,-0.229,19.514,0.288
564,564,LMC_SC10,57373,5.166969,-68.91297,44.30,6196.60,19.564,0.013,19.551,0.079,0.131,,,
565,565,LMC_SC10,57376,5.168108,-68.91272,97.83,6199.09,20.231,0.691,19.539,0.349,0.191,,,
566,566,LMC_SC10,57377,5.168411,-68.91253,112.01,6200.88,20.782,0.794,19.988,0.182,0.175,0.676,21.462,0.297
567,567,LMC_SC10,57384,5.166156,-68.91253,6.01,6200.23,,,19.727,,0.304,,,
568,568,LMC_SC10,57385,5.166456,-68.91278,20.16,6198.07,20.352,0.302,20.048,0.122,0.215,,,
569,569,LMC_SC10,57390,5.167789,-68.91256,82.70,6200.43,20.377,0.599,19.777,0.130,0.146,0.519,20.900,0.285
570,570,LMC_SC10,57398,5.167197,-68.91222,54.94,6203.24,21.390,1.206,20.184,0.450,0.264,,,
571,571,LMC_SC10,57404,5.167975,-68.91225,91.48,6203.12,,,20.555,,0.327,,,
572,572,LMC_SC10,57415,5.166694,-68.91197,31.29,6205.25,20.689,0.351,20.338,0.293,0.283,,,
573,573,LMC_SC10,57418,5.168281,-68.91172,105.88,6207.76,20.152,0.528,19.623,0.089,0.135,0.408,20.563,0.174
574,574,LMC_SC10,57419,5.168375,-68.91181,110.30,6207.17,19.817,-0.070,19.888,0.112,0.176,0.150,19.968,0.178
575,575,LMC_SC10,57424,5.167083,-68.91153,49.60,6209.17,20.942,0.931,20.010,0.334,0.201,,,
576,576,LMC_SC10,57427,5.167006,-68.91164,45.90,6208.16,20.256,0.210,20.047,0.133,0.174,,,
577,577,LMC_SC10,57428,5.167717,-68.91150,79.34,6209.59,19.986,0.009,19.977,0.125,0.180,0.102,20.089,0.145
578,578,LMC_SC10,57431,5.166094,-68.91128,3.13,6211.03,,,19.766,,0.286,,,
579,579,LMC_SC10,57433,5.166775,-68.91128,35.06,6211.17,20.241,-0.171,20.412,0.160,0.275,,,
580,580,LMC_SC10,57442,5.166194,-68.91103,7.76,6213.38,20.490,0.002,20.488,0.331,0.357,,,
581,581,LMC_SC10,57454,5.167508,-68.91061,69.50,6217.33,20.176,0.460,19.717,0.126,0.156,0.350,20.529,0.202
582,582,LMC_SC10,57457,5.166706,-68.91047,31.74,6218.19,20.596,0.433,20.163,0.209,0.236,,,
583,583,LMC_SC10,57459,5.167314,-68.91036,60.38,6219.29,19.652,0.329,19.322,0.078,0.137,0.417,20.072,0.109
584,584,LMC_SC10,57468,5.166681,-68.91014,30.50,6221.12,20.813,0.480,20.333,0.250,0.289,,,
585,585,LMC_SC10,57472,5.167550,-68.90994,71.46,6223.14,20.124,0.032,20.091,0.168,0.226,0.238,20.362,0.195
586,586,LMC_SC10,57473,5.167806,-68.90992,83.44,6223.32,20.229,0.328,19.901,0.194,0.192,0.141,20.371,0.315
587,587,LMC_SC10,57474,5.168486,-68.91003,115.42,6222.58,20.427,0.416,20.010,0.169,0.176,0.106,20.534,0.153
588,588,LMC_SC10,57476,5.167983,-68.90978,91.76,6224.59,20.514,0.569,19.944,0.141,0.187,0.183,20.699,0.292
589,589,LMC_SC10,57479,5.168197,-68.90969,101.79,6225.51,21.274,1.067,20.207,0.301,0.243,,,
590,590,LMC_SC10,57488,5.168686,-68.90939,124.79,6228.21,21.410,0.914,20.495,0.353,0.337,-0.021,21.391,0.409
591,591,LMC_SC10,57494,5.166264,-68.90903,10.91,6230.74,20.067,0.063,20.004,0.205,0.219,,,
592,592,LMC_SC10,57495,5.167183,-68.90892,54.12,6232.03,20.490,0.136,20.354,0.163,0.329,,,
593,593,LMC_SC10,57500,5.167533,-68.90894,70.52,6231.80,20.719,0.673,20.045,0.264,0.219,0.462,21.184,0.419
594,594,LMC_SC10,57501,5.167908,-68.90900,88.20,6231.34,20.583,0.522,20.060,0.262,0.259,1.116,21.703,0.570
595,595,LMC_SC10,57505,5.167458,-68.90894,66.99,6231.70,20.119,0.142,19.978,0.108,0.231,0.091,20.211,0.171
596,596,LMC_SC10,57511,5.168636,-68.90886,122.46,6232.90,21.317,0.484,20.832,0.272,0.454,,,
597,597,LMC_SC10,57514,5.166647,-68.90872,28.89,6233.58,19.358,0.006,19.351,0.134,0.138,,,
598,598,LMC_SC10,57521,5.167656,-68.90853,76.24,6235.57,20.446,0.559,19.886,0.131,0.235,-0.109,20.337,0.171
599,599,LMC_SC10,57525,5.166186,-68.90828,7.25,6237.15,20.237,0.395,19.842,0.379,0.311,,,
600,600,LMC_SC10,57528,5.166697,-68.90833,31.20,6236.79,19.945,0.074,19.870,0.225,0.200,,,
601,601,LMC_SC10,57529,5.167064,-68.90831,48.48,6237.33,19.554,0.130,19.423,0.120,0.140,,,
602,602,LMC_SC10,57536,5.167292,-68.90822,59.19,6238.00,21.173,0.658,20.514,0.249,0.381,0.195,21.371,0.472
603,603,LMC_SC10,57542,5.168306,-68.90808,106.78,6239.48,20.296,0.198,20.097,0.115,0.227,0.147,20.445,0.214
604,604,LMC_SC10,57544,5.166369,-68.90783,15.88,6241.16,20.399,0.341,20.059,0.197,0.218,,,
605,605,LMC_SC10,57545,5.167178,-68.90792,53.83,6240.59,21.298,0.949,20.349,0.296,0.253,,,
606,606,LMC_SC10,57546,5.167547,-68.90789,71.18,6241.09,20.334,0.624,19.709,0.153,0.203,-0.238,20.096,0.145
607,607,LMC_SC10,57547,5.167656,-68.90797,76.29,6240.29,20.539,1.150,19.388,0.281,0.215,,,
608,608,LMC_SC10,57555,5.166186,-68.90764,7.23,6242.68,20.692,0.437,20.255,0.290,0.253,,,
609,609,LMC_SC10,57561,5.166853,-68.90764,38.58,6242.86,20.994,0.967,20.026,0.209,0.205,,,
610,610,LMC_SC10,57562,5.167642,-68.90761,75.66,6243.44,19.286,-0.177,19.463,0.144,0.206,0.022,19.307,0.118
611,611,LMC_SC10,57568,5.166097,-68.90742,2.94,6244.60,19.791,0.027,19.764,0.112,0.216,,,
612,612,LMC_SC10,57569,5.168286,-68.90750,105.95,6244.50,20.087,0.192,19.894,0.113,0.193,0.059,20.147,0.099
613,613,LMC_SC10,57573,5.166233,-68.90719,9.39,6246.71,20.094,0.081,20.013,0.381,0.326,,,
614,614,LMC_SC10,57574,5.166528,-68.90717,23.26,6247.07,20.429,0.694,19.734,0.178,0.162,,,
615,615,LMC_SC10,57575,5.168553,-68.90711,118.42,6248.00,20.725,0.640,20.084,0.145,0.281,0.274,21.002,0.292
616,616,LMC_SC10,57579,5.166931,-68.90703,42.17,6248.28,20.585,0.730,19.854,0.230,0.189,,,
617,617,LMC_SC10,57584,5.166622,-68.90692,27.65,6249.14,20.522,0.739,19.782,0.136,0.147,,,
618,618,LMC_SC10,57585,5.167325,-68.90686,60.71,6249.84,20.293,0.257,20.035,0.294,0.249,0.355,20.650,0.211
619,619,LMC_SC10,57586,5.168642,-68.90706,122.63,6248.57,20.472,0.262,20.210,0.153,0.239,0.185,20.659,0.170
620,620,LMC_SC10,57594,5.167258,-68.90644,57.56,6253.56,19.870,0.081,19.789,0.131,0.192,0.109,19.981,0.185
621,621,LMC_SC10,57600,5.168000,-68.90647,92.46,6253.34,,,20.275,,0.306,,21.032,0.426
622,622,LMC_SC10,57606,5.167003,-68.90625,45.45,6255.12,20.603,1.018,19.586,0.310,0.184,,,
623,623,LMC_SC10,57609,5.168500,-68.90617,115.93,6256.32,20.845,0.623,20.221,0.225,0.242,,,
624,624,LMC_SC10,57617,5.166803,-68.90589,36.04,6258.22,20.268,0.516,19.751,0.275,0.201,,,
625,625,LMC_SC10,57618,5.167850,-68.90597,85.35,6257.83,19.482,0.115,19.365,0.067,0.128,0.090,19.571,0.098
626,626,LMC_SC10,57619,5.166419,-68.90561,18.10,6260.48,19.900,0.582,19.317,0.127,0.146,,,
627,627,LMC_SC10,57622,5.168697,-68.90575,125.14,6259.88,19.606,0.061,19.544,0.079,0.165,0.298,19.905,0.168
628,628,LMC_SC10,57627,5.166572,-68.90547,25.20,6261.67,20.116,0.103,20.015,0.142,0.244,,,
629,629,LMC_SC10,57628,5.167958,-68.90553,90.33,6261.65,19.852,0.043,19.810,0.109,0.175,-0.058,19.793,0.159
630,630,LMC_SC10,57632,5.167764,-68.90556,81.19,6261.34,19.650,0.113,19.536,0.226,0.247,0.412,20.064,0.312
631,631,LMC_SC10,57633,5.168294,-68.90544,106.22,6262.40,20.373,0.322,20.049,0.176,0.204,0.068,20.442,0.184
632,632,LMC_SC10,57639,5.166456,-68.90519,19.67,6264.23,20.790,1.040,19.748,0.335,0.189,,,
633,633,LMC_SC10,57640,5.167444,-68.90517,66.22,6264.52,20.149,0.109,20.040,0.127,0.203,0.372,20.523,0.137
634,634,LMC_SC10,57641,5.167703,-68.90519,78.41,6264.55,,,20.427,,0.367,,,
635,635,LMC_SC10,57646,5.167131,-68.90508,51.44,6265.32,,,20.337,,0.275,,,
636,636,LMC_SC10,57647,5.167219,-68.90497,55.62,6266.38,20.675,0.906,19.769,0.239,0.158,,,
637,637,LMC_SC10,57654,5.167831,-68.90486,84.33,6267.41,19.710,-0.241,19.950,0.177,0.274,0.523,20.235,0.183
638,638,LMC_SC10,57659,5.167361,-68.90458,62.21,6269.80,20.683,0.746,19.936,0.209,0.263,-1.285,19.394,0.302
639,639,LMC_SC10,57663,5.167275,-68.90450,58.19,6270.43,20.284,0.453,19.830,0.318,0.197,,,
640,640,LMC_SC10,57664,5.168367,-68.90461,109.49,6269.74,19.793,0.197,19.595,0.089,0.120,0.166,19.959,0.115
641,641,LMC_SC10,57683,5.166286,-68.90386,11.66,6275.60,20.516,0.654,19.861,0.186,0.196,,,
642,642,LMC_SC10,57684,5.166694,-68.90381,30.88,6276.35,19.830,0.329,19.501,0.181,0.219,,,
643,643,LMC_SC10,57685,5.166789,-68.90372,35.38,6277.00,19.850,0.413,19.437,0.209,0.228,,,
644,644,LMC_SC10,57686,5.166947,-68.90369,42.78,6277.26,20.994,1.242,19.750,0.552,0.318,,,
645,645,LMC_SC10,57687,5.167303,-68.90383,59.49,6276.10,19.896,0.041,19.856,0.100,0.189,0.180,20.079,0.182
646,646,LMC_SC10,57694,5.166911,-68.90339,41.05,6279.86,20.221,0.872,19.348,0.397,0.353,,,
647,647,LMC_SC10,57695,5.168183,-68.90381,100.87,6276.79,20.085,0.375,19.710,0.085,0.140,0.328,20.415,0.126
648,648,LMC_SC10,57698,5.167908,-68.90347,87.95,6279.52,19.745,0.234,19.510,0.077,0.142,0.250,19.996,0.101
649,649,LMC_SC10,57699,5.168083,-68.90364,96.20,6278.17,19.973,0.428,19.544,0.108,0.178,0.514,20.490,0.127
650,650,LMC_SC10,57707,5.166458,-68.90336,19.82,6279.99,20.729,0.569,20.159,0.302,0.303,,,
651,651,LMC_SC10,57708,5.167075,-68.90331,48.81,6280.80,19.974,0.542,19.432,0.245,0.321,,,
652,652,LMC_SC10,57709,5.167833,-68.90361,84.45,6278.17,20.007,0.107,19.899,0.062,0.163,0.182,20.190,0.118
653,653,LMC_SC10,57711,5.168372,-68.90339,109.76,6280.46,19.914,0.216,19.699,0.071,0.132,0.158,20.074,0.156
654,654,LMC_SC10,57712,5.168464,-68.90356,114.12,6279.05,20.523,0.443,20.080,0.130,0.191,0.475,21.001,0.308
655,655,LMC_SC10,57718,5.166214,-68.90308,8.24,6282.43,19.991,-0.147,20.138,0.156,0.234,,,
656,656,LMC_SC10,57726,5.167175,-68.90283,53.48,6284.90,20.426,1.119,19.306,0.636,0.292,,,
657,657,LMC_SC10,57727,5.167264,-68.90283,57.58,6284.87,20.338,0.535,19.801,0.249,0.243,,,
658,658,LMC_SC10,57728,5.167300,-68.90294,59.29,6283.88,19.591,-0.166,19.757,0.091,0.229,0.217,19.810,0.204
659,659,LMC_SC10,57729,5.168453,-68.90306,113.51,6283.29,21.397,0.437,20.960,0.404,0.638,,,
660,660,LMC_SC10,57730,5.168567,-68.90303,118.86,6283.66,20.323,0.282,20.041,0.214,0.229,0.129,20.454,0.266
661,661,LMC_SC10,57738,5.166733,-68.90242,32.64,6288.27,20.337,1.075,19.261,0.563,0.265,,,
662,662,LMC_SC10,57748,5.167256,-68.90253,57.16,6287.50,19.748,0.335,19.413,0.232,0.279,,,
663,663,LMC_SC10,57749,5.168339,-68.90258,108.21,6287.43,20.534,0.275,20.259,0.290,0.319,0.401,20.937,0.422
664,664,LMC_SC10,57752,5.166386,-68.90225,16.31,6289.68,20.297,0.506,19.790,0.237,0.229,,,
665,665,LMC_SC10,57753,5.166503,-68.90222,21.76,6289.88,20.565,0.893,19.670,0.211,0.237,,,
666,666,LMC_SC10,57754,5.167969,-68.90225,90.80,6290.13,20.033,0.468,19.566,0.114,0.173,-0.049,19.985,0.084
667,667,LMC_SC10,57755,5.167850,-68.90231,85.20,6289.72,20.380,0.366,20.012,0.189,0.267,-0.110,20.269,0.274
668,668,LMC_SC10,57756,5.168233,-68.90225,103.20,6290.17,21.117,0.527,20.589,0.224,0.291,0.015,21.132,0.246
669,669,LMC_SC10,57764,5.166764,-68.90200,34.09,6291.97,20.616,0.830,19.784,0.446,0.341,,,
670,670,LMC_SC10,57765,5.168344,-68.90206,108.32,6292.04,19.893,0.058,19.834,0.108,0.181,0.516,20.411,0.214
671,671,LMC_SC10,57766,5.168431,-68.90206,112.41,6291.97,19.947,-0.167,20.116,0.556,0.367,,,
672,672,LMC_SC10,57774,5.166156,-68.90167,5.43,6294.64,21.204,1.057,20.146,0.369,0.306,,,
673,673,LMC_SC10,57775,5.168594,-68.90186,120.10,6293.72,20.334,0.220,20.112,0.199,0.276,0.409,20.745,0.291
674,674,LMC_SC10,57780,5.167264,-68.90178,57.52,6293.98,19.257,-0.216,19.473,0.102,0.251,,,
675,675,LMC_SC10,57781,5.167911,-68.90192,87.96,6293.06,21.035,1.018,20.017,0.242,0.219,-1.072,19.961,0.122
676,676,LMC_SC10,57782,5.168731,-68.90186,126.55,6293.63,19.612,-0.122,19.734,0.236,0.410,-0.436,19.174,0.148
677,677,LMC_SC10,57786,5.167128,-68.90167,51.13,6294.98,20.206,0.568,19.637,0.328,0.412,,,
678,678,LMC_SC10,57792,5.166681,-68.90142,30.14,6296.98,20.416,0.840,19.575,0.363,0.249,,,
679,679,LMC_SC10,57793,5.167008,-68.90144,45.60,6296.98,20.353,-0.166,20.520,0.273,0.607,,,
680,680,LMC_SC10,57799,5.167144,-68.90139,51.95,6297.44,20.677,0.914,19.762,0.417,0.359,,,
681,681,LMC_SC10,57804,5.167667,-68.90111,76.52,6300.04,20.285,0.327,19.957,0.155,0.269,0.054,20.339,0.275
682,682,LMC_SC10,57805,5.167789,-68.90119,82.20,6299.33,20.975,1.003,19.971,0.205,0.219,0.492,21.472,0.448
683,683,LMC_SC10,57809,5.167858,-68.90083,85.45,6302.46,19.790,0.133,19.656,0.075,0.124,0.096,19.885,0.081
684,684,LMC_SC10,57813,5.166744,-68.90097,33.05,6300.98,21.296,1.416,19.878,0.357,0.272,,,
685,685,LMC_SC10,57814,5.167325,-68.90064,60.41,6304.04,19.871,0.285,19.586,0.075,0.160,0.204,20.077,0.163
686,686,LMC_SC10,57815,5.167539,-68.90072,70.49,6303.28,20.616,0.400,20.216,0.140,0.200,0.345,20.963,0.343
687,687,LMC_SC10,57816,5.168133,-68.90064,98.38,6304.26,21.197,1.096,20.100,0.322,0.318,1.428,22.633,0.853
688,688,LMC_SC10,57821,5.166783,-68.90081,34.89,6302.50,19.753,-0.059,19.813,0.211,0.226,,,
689,689,LMC_SC10,57822,5.167947,-68.90069,89.63,6303.80,20.085,0.593,19.493,0.118,0.121,0.302,20.390,0.187
690,690,LMC_SC10,57825,5.166672,-68.90058,29.65,6304.20,20.493,0.868,19.624,0.267,0.220,,,
691,691,LMC_SC10,57829,5.166772,-68.90022,34.39,6307.54,20.350,0.569,19.781,0.293,0.308,,,
692,692,LMC_SC10,57835,5.168669,-68.90008,123.57,6309.29,20.614,0.896,19.717,0.173,0.206,0.343,20.960,0.290
693,693,LMC_SC10,57849,5.167531,-68.89975,70.00,6311.79,20.756,0.385,20.370,0.155,0.223,0.769,21.530,0.320
694,694,LMC_SC10,57853,5.166736,-68.89958,32.60,6312.94,20.726,0.276,20.450,0.286,0.512,,,
695,695,LMC_SC10,57858,5.167214,-68.89967,55.10,6312.47,19.941,0.249,19.693,0.120,0.182,,,
696,696,LMC_SC10,57859,5.167883,-68.89961,86.61,6313.10,20.915,1.006,19.908,0.173,0.167,,,
697,697,LMC_SC10,57863,5.166314,-68.89953,12.80,6313.47,20.664,0.774,19.890,0.166,0.167,,,
698,698,LMC_SC10,57869,5.168089,-68.89922,96.24,6316.53,20.351,0.412,19.939,0.092,0.194,0.156,20.508,0.163
