0,No,Field,StarID,RA,Decl,X,Y,V,V_I,I,Vsig,Isig,B_V,B,Bsig
50,50,LMC_SC10,54750,5.167933,-68.88525,88.25,6438.03,17.622,1.048,16.574,0.032,0.018,1.137,18.767,0.187
51,51,LMC_SC10,54821,5.168608,-68.90581,120.94,6259.46,18.738,1.365,17.371,0.049,0.037,1.388,20.135,0.155
52,52,LMC_SC10,54834,5.166092,-68.91806,3.30,6152.04,18.366,1.155,17.210,0.037,0.044,,,
53,53,LMC_SC10,54838,5.166344,-68.91708,15.09,6160.58,,,18.478,,0.562,,,
54,54,LMC_SC10,54839,5.167856,-68.91711,86.08,6160.76,18.239,0.290,17.948,0.352,0.365,2.940,21.193,0.603
55,55,LMC_SC10,54843,5.166453,-68.91628,20.19,6167.78,19.268,1.598,17.667,0.165,0.088,,,
56,56,LMC_SC10,54850,5.168406,-68.91494,111.86,6179.76,18.906,1.377,17.528,0.135,0.038,1.428,20.342,0.323
57,57,LMC_SC10,54857,5.168597,-68.91372,120.83,6190.57,17.191,-0.002,17.193,0.026,0.029,-0.103,17.088,0.056
58,58,LMC_SC10,54864,5.167911,-68.91181,88.52,6207.11,17.552,-0.016,17.570,0.052,0.040,-0.017,17.535,0.056
59,59,LMC_SC10,54868,5.167456,-68.91019,66.93,6220.80,18.522,0.985,17.537,0.030,0.030,0.878,19.407,0.068
60,60,LMC_SC10,54869,5.166664,-68.90978,29.80,6224.27,17.322,0.055,17.268,0.029,0.042,,,
61,61,LMC_SC10,54873,5.166881,-68.90958,39.88,6226.11,18.239,0.335,17.904,0.174,0.121,,,
62,62,LMC_SC10,54874,5.167850,-68.90953,85.47,6226.79,18.910,1.178,17.730,0.080,0.039,0.403,19.316,0.097
63,63,LMC_SC10,54875,5.168694,-68.90906,125.12,6231.02,18.357,0.849,17.508,0.062,0.056,0.749,19.111,0.100
64,64,LMC_SC10,54876,5.167811,-68.90858,83.58,6235.01,17.038,-0.145,17.183,0.049,0.029,-0.051,16.986,0.058
65,65,LMC_SC10,54878,5.166408,-68.90844,17.70,6235.82,18.110,0.731,17.378,0.056,0.029,,,
66,66,LMC_SC10,54880,5.166914,-68.90828,41.43,6237.47,17.175,0.012,17.162,0.036,0.027,,,
67,67,LMC_SC10,54881,5.167331,-68.90783,61.05,6241.50,18.916,0.907,18.008,0.075,0.065,0.727,19.647,0.257
68,68,LMC_SC10,54883,5.168622,-68.90775,121.73,6242.40,19.088,1.486,17.600,0.095,0.044,1.456,20.554,0.292
69,69,LMC_SC10,54887,5.166261,-68.90733,10.67,6245.54,17.837,0.020,17.817,0.051,0.061,,,
70,70,LMC_SC10,54888,5.167561,-68.90731,71.83,6246.15,18.393,1.124,17.268,0.035,0.028,1.032,19.432,0.111
71,71,LMC_SC10,54889,5.168117,-68.90719,97.94,6247.10,19.194,1.704,17.489,0.061,0.029,1.784,20.988,0.253
72,72,LMC_SC10,54895,5.167047,-68.90639,47.64,6253.84,17.888,0.306,17.582,0.042,0.054,,,
73,73,LMC_SC10,54896,5.167983,-68.90619,91.62,6255.81,18.299,0.922,17.376,0.046,0.030,0.856,19.161,0.119
74,74,LMC_SC10,54899,5.168367,-68.90558,109.54,6261.23,18.768,0.900,17.867,0.042,0.045,0.888,19.660,0.069
75,75,LMC_SC10,54900,5.167772,-68.90506,81.60,6265.77,18.869,1.163,17.705,0.151,0.134,0.966,19.841,0.218
